Season,Name,Age,Squad,Competition,Minutes,Goal,Assist,Non penalty,Penalty,Penalty attempt,Shoot,Off target,On target,Blocked,Rating,Pass,Acclb,Inacclb,accsp,inaccsp,Keypass,Yellow,Red
2010-2011,Messi,23,Barcelona,Champions Lg,1046 ,12 ,3 ,11 ,1 ,2 ,69 ,18 ,35 ,16 ,8.87 ,895 ,9 ,2 ,784 ,100 ,24 ,0 ,0 
2010-2011,Messi,23,Barcelona,La Liga,2858 ,31 ,19 ,27 ,4 ,4 ,150 ,41 ,80 ,29 ,8.76 ,2233 ,47 ,9 ,1877 ,300 ,67 ,3 ,0 
2011-2012,Messi,24,Barcelona,Champions Lg,990 ,14 ,5 ,10 ,4 ,5 ,76 ,22 ,35 ,19 ,8.88 ,890 ,17 ,4 ,756 ,113 ,32 ,2 ,0 
2011-2012,Messi,24,Barcelona,La Liga,3270 ,50 ,16 ,40 ,10 ,11 ,202 ,47 ,100 ,55 ,8.88 ,2360 ,52 ,16 ,1936 ,356 ,92 ,6 ,0 
2012-2013,Messi,25,Barcelona,Champions Lg,826 ,8 ,2 ,8 ,0 ,0 ,41 ,12 ,20 ,9 ,7.75 ,656 ,22 ,2 ,550 ,82 ,17 ,0 ,0 
2012-2013,Messi,25,Barcelona,La Liga,2650 ,46 ,11 ,42 ,4 ,4 ,163 ,50 ,80 ,33 ,8.83 ,1760 ,67 ,14 ,1432 ,247 ,46 ,1 ,0 
2013-2014,Messi,26,Barcelona,Champions Lg,630 ,8 ,0 ,6 ,2 ,2 ,33 ,10 ,12 ,11 ,8.37 ,417 ,6 ,2 ,352 ,57 ,16 ,0 ,0 
2013-2014,Messi,26,Barcelona,La Liga,2501 ,28 ,11 ,21 ,7 ,8 ,155 ,37 ,69 ,49 ,8.34 ,1375 ,34 ,10 ,1133 ,198 ,73 ,2 ,0 
2014-2015,Messi,27,Barcelona,Champions Lg,1147 ,10 ,6 ,10 ,0 ,1 ,56 ,22 ,26 ,8 ,8.90 ,838 ,28 ,9 ,694 ,107 ,36 ,1 ,0 
2014-2015,Messi,27,Barcelona,La Liga,3375 ,43 ,18 ,38 ,5 ,6 ,187 ,53 ,94 ,40 ,8.84 ,2334 ,104 ,44 ,1830 ,356 ,95 ,4 ,0 
